Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20090713,0.0243,-0.0065,0.018,0.00001,0,-0.0052,0.0009,0.049,0.0229,-0.001,-0.0062,-0.0001,0.048,0.0219
20090714,0.0059,0.0029,0.0063,0.00001,0.0335,0.0437,0.031,0.0074,0.041,0.0325,0.0427,0.03,0.0064,0.04
20090715,0.0298,0.0054,0.0135,0.00001,0.0038,0.0133,0.0109,0.0317,0.0502,0.0028,0.0123,0.0099,0.0307,0.0492
20090716,0.0094,0.0048,-0.0016,0.00001,0.0285,-0.0061,-0.028,0.0189,0.0307,0.0275,-0.0071,-0.029,0.0179,0.0297
20090717,-0.0005,-0.0023,-0.0011,0.00001,0.0074,0.0099,-0.0009,-0.0046,0.0132,0.0064,0.0089,-0.0019,-0.0056,0.0122
20090720,0.0119,0.0032,0.0034,0.00001,-0.0092,0.0122,-0.0046,0.028,-0.0229,-0.0102,0.0112,-0.0056,0.027,-0.0239
20090721,0.0031,-0.0053,-0.0085,0.00001,0.0351,-0.0012,-0.0009,0.0091,0.0268,0.0341,-0.0022,-0.0019,0.0081,0.0258
20090722,0.0008,0.0058,0.0039,0.00001,0.0071,0.0306,0.0224,-0.0022,0.0586,0.0061,0.0296,0.0214,-0.0032,0.0576
20090723,0.0237,0.0061,0.0102,0.00001,0.0124,-0.0826,0.0219,0.0563,-0.0031,0.0114,-0.0836,0.0209,0.0553,-0.0041
20090724,0.0038,0.0032,0.0009,0.00001,0.0018,-0.0145,-0.0045,-0.0789,0.0031,0.0008,-0.0155,-0.0055,-0.0799,0.0021
20090727,0.003,0.0011,0.01,0.00001,-0.0017,0.0156,-0.0108,-0.0255,0.0031,-0.0027,0.0146,-0.0118,-0.0265,0.0021
20090728,-0.002,0.0026,-0.0029,0.00001,0.0018,0.0141,-0.0082,0.0095,-0.0215,0.0008,0.0131,-0.0092,0.0085,-0.0225
20090729,-0.0046,-0.0012,-0.0082,0.00001,0.0157,0.0004,0.0211,-0.0071,0.0094,0.0147,-0.0006,0.0201,-0.0081,0.0084
20090730,0.0124,0.0028,0.0144,0.00001,0.0052,-0.0122,-0.0054,0.019,0.0031,0.0042,-0.0132,-0.0064,0.018,0.0021
20090731,0.0005,-0.0022,0.0123,0.00001,0.0171,0.0132,0.0207,-0.0023,0.0279,0.0161,0.0122,0.0197,-0.0033,0.0269
20090803,0.0163,0.0005,0.0165,0.00001,-0.0051,-0.0025,0.0027,0.0186,0.006,-0.0061,-0.0035,0.0017,0.0176,0.005
20090804,0.0032,0.004,0.008,0.00001,-0.0017,0.0017,-0.0053,-0.0183,0.003,-0.0027,0.0007,-0.0063,-0.0193,0.002
20090805,-0.003,-0.0113,0.0173,0.00001,-0.0085,-0.0147,-0.0018,-0.0186,-0.0209,-0.0095,-0.0157,-0.0028,-0.0196,-0.0219
20090806,-0.0062,-0.0101,0.0007,0.00001,0.0103,0.0043,0.0151,0.0024,0.0457,0.0093,0.0033,0.0141,0.0014,0.0447
20090807,0.0144,0.0097,0.012,0.00001,-0.0051,-0.0059,-0.0009,0.0118,-0.035,-0.0061,-0.0069,-0.0019,0.0108,-0.036
20090810,-0.0032,0.0049,0.0032,0.00001,-0.0102,-0.0124,-0.0061,-0.0117,-0.0211,-0.0112,-0.0134,-0.0071,-0.0127,-0.0221
20090811,-0.0125,-0.0005,-0.012,0.00001,0.0137,0.0173,0.0106,-0.0095,0.037,0.0127,0.0163,0.0096,-0.0105,0.036
20090812,0.0121,0.0045,0.0049,0.00001,0.0186,0.0038,0.0078,0.0287,0.0298,0.0176,0.0028,0.0068,0.0277,0.0288
20090813,0.0073,-0.0034,0.0108,0.00001,-0.0083,0.003,-0.0052,-0.0163,-0.0318,-0.0093,0.002,-0.0062,-0.0173,-0.0328
